,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
139,Soumya Sarkar,2015-2015,6,2,42,-,32,-,-,-,4.57,-,-,-,-,6,Bangladesh
140,PR Stirling,2015-2015,6,6,205,-,195,2,97.50,102.5,5.70,2/27,-,-,-,2,Ireland
141,Taijul Islam,2015-2015,1,1,60,-,58,-,-,-,5.80,-,-,-,-,-,Bangladesh
142,Tamim Iqbal,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,1,Bangladesh
143,Taskin Ahmed,2015-2015,6,6,306,1,325,9,36.11,34.0,6.37,3/43,-,-,-,2,Bangladesh
144,BRM Taylor,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,4,Zimbabwe
145,JE Taylor,2015-2015,7,7,345,2,328,17,19.29,20.2,5.70,3/15,-,-,-,1,West Indies
146,RML Taylor,2015-2015,3,3,114,-,102,2,51.00,57.0,5.36,1/29,-,-,-,1,Scotland
147,JWA Taylor,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,-,England
148,WU Tharanga,2015-2015,1,-,0,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka
149,HDRL Thirimanne,2015-2015,7,-,0,-,-,-,-,-,-,-,-,-,-,4,Sri Lanka
150,SR Thompson,2015-2015,2,2,96,-,104,3,34.66,32.0,6.50,2/45,-,-,-,-,Ireland
151,JC Tredwell,2015-2015,1,1,42,-,25,1,25.00,42.0,3.57,1/25,-,-,-,1,England
152,Umar Akmal,2015-2015,7,-,0,-,-,-,-,-,-,-,-,-,-,12,Pakistan
153,Usman Ghani,2015-2015,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
154,Wahab Riaz,2015-2015,7,7,397,4,368,16,23.00,24.8,5.56,4/45,-,-,-,4,Pakistan
155,I Wardlaw,2015-2015,5,5,261,1,310,6,51.66,43.5,7.12,3/57,-,-,-,1,Scotland
156,SC Williams,2015-2015,6,6,270,1,286,7,40.85,38.5,6.35,3/72,-,-,-,4,Zimbabwe
157,GC Wilson,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,4,Ireland
